TIMESTAMP,ROOM_ID,PERCENT_CLEANED
06/01/2021 13:39:01,Home Office,85
05/31/2021 09:27:45,Library,92
05/30/2021 10:14:41,Media Room,78
05/28/2021 17:22:52,Study,80
05/21/2021 09:16:33,Home Gym,89
05/23/2021 18:22:11,Media Room,95
05/23/2021 11:51:19,Den,82
05/17/2021 04:37:31,Attic,93
06/02/2021 08:45:12,Home Office,88
06/02/2021 15:20:30,Library,94
06/03/2021 11:10:50,Game Room,85
06/04/2021 14:45:29,Study,88
06/05/2021 09:30:17,Home Gym,91
06/05/2021 17:15:44,Media Room,96
06/06/2021 12:52:18,Den,84
06/07/2021 10:26:55,Attic,92
06/08/2021 14:39:21,Media Room,90
06/09/2021 13:55:37,Library,96
06/10/2021 10:12:48,Game Room,88
06/11/2021 17:30:15,Study,92
06/12/2021 14:20:22,Home Gym,94
06/13/2021 11:45:11,Media Room,97
06/14/2021 09:57:28,Den,87
06/15/2021 07:14:33,Den,93
